i,gen_strategy,gen_error,gen_source,gen_aligned,gen_alignment,gen_cost,gen_gt,gen_aligned_gt,gen_dataset_time,gen_good_points_percentage,gen_bad_points_percentage,gen_good_points_edit_distance,gen_bad_points_edit_distance,gen_aligned_gt@1,gen_gt@1,gen_target_y@1,gen_score@1,gen_source_score@1,gen_aligned_gt@5,gen_gt@5,gen_target_y@5,gen_score@5,gen_source_score@5,gen_aligned_gt@10,gen_gt@10,gen_target_y@10,gen_score@10,gen_source_score@10,gen_aligned_gt@20,gen_gt@20,gen_target_y@20,gen_score@20,gen_source_score@20,split,status,score,source,aligned,alignment,cost,gt,aligned_gt,dataset_time,align_time,automata_learning_time,aligned_gt@1,gt@1,preds_gt@1,score@1,aligned_gt@5,gt@5,preds_gt@5,score@5,aligned_gt@10,gt@10,preds_gt@10,score@10,aligned_gt@20,gt@20,preds_gt@20,score@20,determinism,model,dataset,target_cat,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,timestamp
10,genetic,None,"1111,168,954,469,515,283,194,1101,718,765,1259,206,1387,1022,1223,481,123,1050,310,545,576,472,434,57,27,160,425,346,684,878,233,71,465,797,1266,321,591,144,436,519,527,1113,896,1321,554,1005,987,1071,833,670","1111,168,954,469,515,283,194,1101,718,765,1259,206,1387,1022,1223,481,123,1050,310,545,576,472,434,57,27,106,425,346,684,878,233,71,465,797,1266,321,591,144,436,519,527,1113,896,1321,554,1005,987,1071,833,670",None,1,None,None,203.964,None,None,None,None,527,834,None,0,None,"527,834,255,694,135","834,527,255,694,980",None,0.592,None,"527,834,255,694,135,1321,980,144,993,294","834,527,255,694,980,1321,135,144,294,993",None,0.65,None,"527,834,255,694,135,1321,980,144,993,294,720,292,263,289,200,278,914,110,530,378","834,527,255,694,980,1321,135,144,294,993,292,110,521,263,289,378,647,720,258,200",None,0.497,None,"(None, 10, 0)",None,None,"1111,168,954,469,515,283,194,1101,718,765,1259,206,1387,1022,1223,481,123,1050,310,545,576,472,434,57,27,160,425,346,684,878,233,71,465,797,1266,321,591,144,436,519,527,1113,896,1321,554,1005,987,1071,833,670","1111,168,954,469,515,283,194,1101,718,765,1259,206,1387,1022,1223,481,123,1050,310,545,576,472,434,57,27,160,425,346,684,878,233,71,465,797,1266,321,591,144,436,519,527,1113,896,1321,554,1005,987,1071,833,1","sync_1111,sync_168,sync_954,sync_469,sync_515,sync_283,sync_194,sync_1101,sync_718,sync_765,sync_1259,sync_206,sync_1387,sync_1022,sync_1223,sync_481,sync_123,sync_1050,sync_310,sync_545,sync_576,sync_472,sync_434,sync_57,sync_27,sync_160,sync_425,sync_346,sync_684,sync_878,sync_233,sync_71,sync_465,sync_797,sync_1266,sync_321,sync_591,sync_144,sync_436,sync_519,sync_527,sync_1113,sync_896,sync_1321,sync_554,sync_1005,sync_987,sync_1071,sync_833,add_1,del_670",1,None,None,None,106.944,None,1099,834,None,0,"1099,131,720,140,492","834,527,255,694,980",None,0.0,"1099,131,720,140,492,662,253,752,2,270","834,527,255,694,980,1321,135,144,294,993",None,0.0,"1099,131,720,140,492,662,253,752,2,270,613,96,116,5,653,262,428,255,158,190","834,527,255,694,980,1321,135,144,294,993,292,110,521,263,289,378,647,720,258,200",None,0.007,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
11,genetic,None,"290,59,372,25,1311,428,182,720,752,140,142,154,408,149,178,361,492,696,84,176,306,141,158,88,137,453,98,279,771,24,190,358,50,356,601,535,243,234,87,708,18,1068,268,1105,935,1195,1083,174,1183,333","290,59,372,25,1311,428,182,720,752,140,142,1564,408,149,178,361,492,696,84,176,306,141,158,88,137,453,98,279,771,24,190,358,50,356,601,535,243,234,87,708,18,1068,268,1105,935,1195,1083,174,1183,333",None,1,None,None,261.25,None,None,None,None,515,707,None,0,None,"515,707,468,234,333","707,515,468,234,472",None,0.592,None,"515,707,468,234,333,511,127,1173,1105,472","707,515,468,234,472,333,39,1105,511,127",None,0.505,None,"515,707,468,234,333,511,127,1173,1105,472,168,174,572,461,720,366,556,58,39,1083","707,515,468,234,472,333,39,1105,511,127,174,720,168,1083,572,1173,1014,245,639,322",None,0.392,None,"(None, 10, 0)",None,None,"290,59,372,25,1311,428,182,720,752,140,142,154,408,149,178,361,492,696,84,176,306,141,158,88,137,453,98,279,771,24,190,358,50,356,601,535,243,234,87,708,18,1068,268,1105,935,1195,1083,174,1183,333","290,59,372,25,1311,428,182,720,752,140,142,154,408,149,178,361,492,696,84,176,306,141,158,88,137,453,98,279,771,24,190,358,50,356,601,535,243,234,87,708,18,1068,268,1105,935,1195,1083,174,1183,37","sync_290,sync_59,sync_372,sync_25,sync_1311,sync_428,sync_182,sync_720,sync_752,sync_140,sync_142,sync_154,sync_408,sync_149,sync_178,sync_361,sync_492,sync_696,sync_84,sync_176,sync_306,sync_141,sync_158,sync_88,sync_137,sync_453,sync_98,sync_279,sync_771,sync_24,sync_190,sync_358,sync_50,sync_356,sync_601,sync_535,sync_243,sync_234,sync_87,sync_708,sync_18,sync_1068,sync_268,sync_1105,sync_935,sync_1195,sync_1083,sync_174,sync_1183,add_37,del_333",1,None,None,None,119.047,None,201,707,None,0,"201,1285,175,218,79","707,515,468,234,472",None,0.0,"201,1285,175,218,79,240,472,162,434,217","707,515,468,234,472,333,39,1105,511,127",None,0.028,"201,1285,175,218,79,240,472,162,434,217,289,241,409,32,322,624,89,255,261,248","707,515,468,234,472,333,39,1105,511,127,174,720,168,1083,572,1173,1014,245,639,322",None,0.024,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
12,genetic,None,"158,945,653,44,96,61,176,892,1024,99,498,118,361,25,972,13,404,69,502,503,874,210,142,24,453,26,614,159,1035,141,137,152,770,652,279","158,945,653,44,96,61,176,892,1024,99,498,118,361,25,892,13,404,69,502,503,874,210,142,24,453,26,614,159,1035,141,137,152,770,652,279",None,1,None,None,274.375,None,None,None,None,26,152,None,0,None,"26,152,24,279,532","152,24,26,524,279",None,0.399,None,"26,152,24,279,532,351,268,578,137,404","152,24,26,524,279,1014,229,268,532,404",None,0.37,None,"26,152,24,279,532,351,268,578,137,404,1014,614,524,1037,453,912,873,657,299,98","152,24,26,524,279,1014,229,268,532,404,1019,166,578,137,307,705,657,873,351,365",None,0.302,None,"(None, 10, 0)",None,None,"158,945,653,44,96,61,176,892,1024,99,498,118,361,25,972,13,404,69,502,503,874,210,142,24,453,26,614,159,1035,141,137,152,770,652,279","158,945,653,44,96,61,176,892,1024,99,498,118,361,25,972,13,404,69,502,503,874,210,142,24,453,26,614,159,1035,141,137,152,770,652,126,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_158,sync_945,sync_653,sync_44,sync_96,sync_61,sync_176,sync_892,sync_1024,sync_99,sync_498,sync_118,sync_361,sync_25,sync_972,sync_13,sync_404,sync_69,sync_502,sync_503,sync_874,sync_210,sync_142,sync_24,sync_453,sync_26,sync_614,sync_159,sync_1035,sync_141,sync_137,sync_152,sync_770,sync_652,add_126,del_279",1,None,None,None,134.462,None,32,152,None,0,"32,102,201,217,409","152,24,26,524,279",None,0.0,"32,102,201,217,409,240,157,175,241,171","152,24,26,524,279,1014,229,268,532,404",None,0.0,"32,102,201,217,409,240,157,175,241,171,623,37,298,79,97,67,348,261,483,180","152,24,26,524,279,1014,229,268,532,404,1019,166,578,137,307,705,657,873,351,365",None,0.0,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
13,genetic,None,"736,696,307,158,182,262,1160,275,1024,720,670,568,734,236,99,524,901,899,859,81,531,951,243,861,485,308,331,481,170,994,7,254,575,1335,400,89,100,154,653,291,504,117,134,408,1212,17,535,1372,912,205","736,696,307,158,182,262,1160,275,1024,720,670,568,734,236,99,524,901,899,859,81,531,951,243,861,485,308,331,481,720,994,7,254,575,1335,400,89,100,154,653,291,504,117,134,408,1212,17,535,1372,912,205",None,1,None,None,198.468,None,None,None,None,643,1326,None,0,None,"643,12,1326,178,978","1326,643,12,978,178",None,0.443,None,"643,12,1326,178,978,393,1505,1139,601,719","1326,643,12,978,178,393,1505,601,87,719",None,0.538,None,"643,12,1326,178,978,393,1505,1139,601,719,87,624,645,524,159,372,465,179,485,18","1326,643,12,978,178,393,1505,601,87,719,624,1139,645,465,372,234,524,18,447,179",None,0.483,None,"(None, 10, 0)",None,None,"736,696,307,158,182,262,1160,275,1024,720,670,568,734,236,99,524,901,899,859,81,531,951,243,861,485,308,331,481,170,994,7,254,575,1335,400,89,100,154,653,291,504,117,134,408,1212,17,535,1372,912,205","736,696,307,158,182,262,1160,275,1024,720,670,568,734,236,99,524,901,899,859,81,531,951,243,861,485,308,331,481,170,994,7,254,575,1335,400,89,100,154,653,291,504,117,134,408,1212,17,535,1372,912,205","sync_736,sync_696,sync_307,sync_158,sync_182,sync_262,sync_1160,sync_275,sync_1024,sync_720,sync_670,sync_568,sync_734,sync_236,sync_99,sync_524,sync_901,sync_899,sync_859,sync_81,sync_531,sync_951,sync_243,sync_861,sync_485,sync_308,sync_331,sync_481,sync_170,sync_994,sync_7,sync_254,sync_575,sync_1335,sync_400,sync_89,sync_100,sync_154,sync_653,sync_291,sync_504,sync_117,sync_134,sync_408,sync_1212,sync_17,sync_535,sync_1372,sync_912,sync_205",0,None,None,None,44.062,None,1326,1326,None,1,"1326,643,12,978,178","1326,643,12,978,178",None,1.0,"1326,643,12,978,178,393,1505,601,87,719","1326,643,12,978,178,393,1505,601,87,719",None,1.0,"1326,643,12,978,178,393,1505,601,87,719,624,1139,645,465,372,234,524,18,447,179","1326,643,12,978,178,393,1505,601,87,719,624,1139,645,465,372,234,524,18,447,179",None,1.0,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
14,genetic,None,"292,436,34,402,30,205,896,157,365,559,759,477,801,166,862,528,136,104,160,58,232,920,1433,599,444,821,346,530,435,1063,1101,457,511,219,37,186,50,53,294,257,1055,345,57,64,118,145,332,1156,623,523","292,436,34,402,30,205,896,157,365,559,759,477,681,166,862,528,136,104,160,58,232,920,1433,599,444,821,346,530,435,1063,1101,457,511,219,37,186,50,53,294,257,1055,345,57,64,118,145,332,1156,623,523",None,1,None,None,203.739,None,None,None,None,278,6,None,0,None,"278,255,162,630,171","6,162,113,180,650",None,0.107,None,"278,255,162,630,171,113,217,180,119,466","6,162,113,180,650,278,255,289,694,368",None,0.141,None,"278,255,162,630,171,113,217,180,119,466,499,30,289,694,312,186,157,623,321,409","6,162,113,180,650,278,255,289,694,368,73,312,140,158,630,222,102,217,357,119",None,0.124,None,"(None, 10, 0)",None,None,"292,436,34,402,30,205,896,157,365,559,759,477,801,166,862,528,136,104,160,58,232,920,1433,599,444,821,346,530,435,1063,1101,457,511,219,37,186,50,53,294,257,1055,345,57,64,118,145,332,1156,623,523","292,436,34,402,30,205,896,157,365,559,759,477,801,166,862,528,136,104,160,58,232,920,1433,599,444,821,346,530,435,1063,1101,457,511,219,37,186,50,53,294,257,1055,345,57,64,118,145,332,1156,623,523","sync_292,sync_436,sync_34,sync_402,sync_30,sync_205,sync_896,sync_157,sync_365,sync_559,sync_759,sync_477,sync_801,sync_166,sync_862,sync_528,sync_136,sync_104,sync_160,sync_58,sync_232,sync_920,sync_1433,sync_599,sync_444,sync_821,sync_346,sync_530,sync_435,sync_1063,sync_1101,sync_457,sync_511,sync_219,sync_37,sync_186,sync_50,sync_53,sync_294,sync_257,sync_1055,sync_345,sync_57,sync_64,sync_118,sync_145,sync_332,sync_1156,sync_623,sync_523",0,None,None,None,12.717,None,6,6,None,1,"6,162,113,180,650","6,162,113,180,650",None,1.0,"6,162,113,180,650,278,255,289,694,368","6,162,113,180,650,278,255,289,694,368",None,1.0,"6,162,113,180,650,278,255,289,694,368,73,312,140,158,630,222,102,217,357,119","6,162,113,180,650,278,255,289,694,368,73,312,140,158,630,222,102,217,357,119",None,1.0,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
15,genetic,None,"78,645,117,815,1024,290,453,311,268,614,141,303,174,564,137,414,24,553,121,1036,182,657,972,465,708,177,279,511,515,578,1012,905,104,173,217,664,230,162,358,31,23,457,1184,258,334,404,103,721,370,125","78,645,117,853,1024,290,453,311,268,614,141,303,174,564,137,414,24,553,121,1036,182,657,972,465,708,177,279,511,515,578,1012,905,104,173,217,664,230,162,358,31,23,457,1184,258,334,404,103,721,370,125",None,1,None,None,234.927,None,None,None,None,374,1037,None,0,None,"374,217,1037,61,66","1037,96,374,217,61",None,0.284,None,"374,217,1037,61,66,96,873,48,369,47","1037,96,374,217,61,48,369,361,873,66",None,0.295,None,"374,217,1037,61,66,96,873,48,369,47,404,141,11,361,614,457,94,358,286,26","1037,96,374,217,61,48,369,361,873,66,404,141,47,26,94,652,290,176,471,11",None,0.305,None,"(None, 10, 0)",None,None,"78,645,117,815,1024,290,453,311,268,614,141,303,174,564,137,414,24,553,121,1036,182,657,972,465,708,177,279,511,515,578,1012,905,104,173,217,664,230,162,358,31,23,457,1184,258,334,404,103,721,370,125","78,645,117,815,1024,290,453,311,268,614,141,303,174,564,137,414,24,553,121,1036,182,657,972,465,708,177,279,511,515,578,1012,905,104,173,217,664,230,162,358,31,23,457,1184,258,334,404,103,721,370,125","sync_78,sync_645,sync_117,sync_815,sync_1024,sync_290,sync_453,sync_311,sync_268,sync_614,sync_141,sync_303,sync_174,sync_564,sync_137,sync_414,sync_24,sync_553,sync_121,sync_1036,sync_182,sync_657,sync_972,sync_465,sync_708,sync_177,sync_279,sync_511,sync_515,sync_578,sync_1012,sync_905,sync_104,sync_173,sync_217,sync_664,sync_230,sync_162,sync_358,sync_31,sync_23,sync_457,sync_1184,sync_258,sync_334,sync_404,sync_103,sync_721,sync_370,sync_125",0,None,None,None,5.205,None,1037,1037,None,1,"1037,96,374,217,61","1037,96,374,217,61",None,1.0,"1037,96,374,217,61,48,369,361,873,66","1037,96,374,217,61,48,369,361,873,66",None,1.0,"1037,96,374,217,61,48,369,361,873,66,404,141,47,26,94,652,290,176,471,11","1037,96,374,217,61,48,369,361,873,66,404,141,47,26,94,652,290,176,471,11",None,1.0,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
16,genetic,None,"197,1241,765,446,753,1049,834,615,522,1111,329,657,283,431,353,577,143,422,169,870,635,778,605,374,438,1198,505,147,162,77,254,55,26,83,457,901,232,418,137,141,369,544,220,115,459,202,770,699,279,979","197,1241,765,446,753,1049,834,615,522,1111,329,657,283,431,353,577,143,422,169,870,63,778,605,374,438,1198,505,147,162,77,254,55,26,83,457,901,232,418,137,141,369,544,220,115,459,202,770,699,279,979",None,1,None,None,228.544,None,None,None,None,540,279,None,0,None,"540,279,1229,1063,622","279,540,830,427,202",None,0.277,None,"540,279,1229,1063,622,427,544,830,524,873","279,540,830,427,202,148,426,457,1229,622",None,0.249,None,"540,279,1229,1063,622,427,544,830,524,873,166,15,198,774,457,202,770,939,1261,1093","279,540,830,427,202,148,426,457,1229,622,475,873,15,77,1063,532,369,759,376,183",None,0.206,None,"(None, 10, 0)",None,None,"197,1241,765,446,753,1049,834,615,522,1111,329,657,283,431,353,577,143,422,169,870,635,778,605,374,438,1198,505,147,162,77,254,55,26,83,457,901,232,418,137,141,369,544,220,115,459,202,770,699,279,979","197,1241,765,446,753,1049,834,615,522,1111,329,657,283,431,353,577,143,422,169,870,635,778,605,374,438,1198,505,147,162,77,254,55,26,83,457,901,232,418,137,141,369,544,220,115,459,202,770,699,279,3","sync_197,sync_1241,sync_765,sync_446,sync_753,sync_1049,sync_834,sync_615,sync_522,sync_1111,sync_329,sync_657,sync_283,sync_431,sync_353,sync_577,sync_143,sync_422,sync_169,sync_870,sync_635,sync_778,sync_605,sync_374,sync_438,sync_1198,sync_505,sync_147,sync_162,sync_77,sync_254,sync_55,sync_26,sync_83,sync_457,sync_901,sync_232,sync_418,sync_137,sync_141,sync_369,sync_544,sync_220,sync_115,sync_459,sync_202,sync_770,sync_699,sync_279,add_3,del_979",1,None,None,None,161.427,None,830,279,None,0,"830,426,220,1033,838","279,540,830,427,202",None,0.057,"830,426,220,1033,838,156,532,608,529,1037","279,540,830,427,202,148,426,457,1229,622",None,0.049,"830,426,220,1033,838,156,532,608,529,1037,268,250,348,984,279,329,308,409,432,148","279,540,830,427,202,148,426,457,1229,622,475,873,15,77,1063,532,369,759,376,183",None,0.048,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
17,genetic,None,"157,457,146,7,477,218,232,916,505,115,544,318,699,376,220,630,15,148,830,939,369,540,202,528,451,979,694,343,592,378,439,338,193,367,914,671,324,34,587,308,558,38,364,720,2,1085,383,69,131,351","157,457,146,7,477,218,232,916,505,115,544,318,699,376,220,630,15,148,830,939,369,540,202,528,451,979,694,343,592,378,439,338,193,367,914,671,324,34,587,308,558,38,364,720,2,1085,383,69,131,451",None,1,None,None,205.256,None,None,None,None,361,720,None,0,None,"361,96,158,2,653","720,361,2,96,131",None,0.24,None,"361,96,158,2,653,852,326,720,579,405","720,361,2,96,131,716,492,819,326,290",None,0.206,None,"361,96,158,2,653,852,326,720,579,405,61,358,428,290,340,252,90,900,176,11","720,361,2,96,131,716,492,819,326,290,653,1195,512,158,405,270,358,579,25,276",None,0.165,None,"(None, 10, 0)",None,None,"157,457,146,7,477,218,232,916,505,115,544,318,699,376,220,630,15,148,830,939,369,540,202,528,451,979,694,343,592,378,439,338,193,367,914,671,324,34,587,308,558,38,364,720,2,1085,383,69,131,351","157,457,146,7,477,218,232,916,505,115,544,318,699,376,220,630,15,148,830,939,369,540,202,528,451,979,694,343,592,378,439,338,193,367,914,671,324,34,587,308,558,38,364,720,2,1085,383,69,131,351","sync_157,sync_457,sync_146,sync_7,sync_477,sync_218,sync_232,sync_916,sync_505,sync_115,sync_544,sync_318,sync_699,sync_376,sync_220,sync_630,sync_15,sync_148,sync_830,sync_939,sync_369,sync_540,sync_202,sync_528,sync_451,sync_979,sync_694,sync_343,sync_592,sync_378,sync_439,sync_338,sync_193,sync_367,sync_914,sync_671,sync_324,sync_34,sync_587,sync_308,sync_558,sync_38,sync_364,sync_720,sync_2,sync_1085,sync_383,sync_69,sync_131,sync_351",0,None,None,None,27.372,None,720,720,None,1,"720,361,2,96,131","720,361,2,96,131",None,1.0,"720,361,2,96,131,716,492,819,326,290","720,361,2,96,131,716,492,819,326,290",None,1.0,"720,361,2,96,131,716,492,819,326,290,653,1195,512,158,405,270,358,579,25,276","720,361,2,96,131,716,492,819,326,290,653,1195,512,158,405,270,358,579,25,276",None,1.0,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
18,genetic,None,"1329,270,306,74,1168,12,88,242,268,716,13,158,1183,99,1465,1003,852,348,360,477,162,759,369,699,457,438,459,451,198,544,979,622,927,220,995,353,1023,281,246,653,336,319,594,1117,357,453,146,377,471,1160","1329,270,306,74,1168,12,88,242,268,716,13,158,1183,99,1465,1003,852,348,360,477,162,759,369,699,457,438,459,451,198,544,979,622,927,220,995,353,1023,281,246,653,336,319,594,1117,357,453,146,377,457,1160",None,1,None,None,200.108,None,None,None,None,1117,31,None,0,None,"1117,471,840,253,270","31,1117,447,840,645",None,0.18,None,"1117,471,840,253,270,500,31,960,88,269","31,1117,447,840,645,253,270,269,358,720",None,0.222,None,"1117,471,840,253,270,500,31,960,88,269,383,447,118,756,610,645,574,99,185,131","31,1117,447,840,645,253,270,269,358,720,471,131,756,667,383,88,500,306,145,11",None,0.196,None,"(None, 10, 0)",None,None,"1329,270,306,74,1168,12,88,242,268,716,13,158,1183,99,1465,1003,852,348,360,477,162,759,369,699,457,438,459,451,198,544,979,622,927,220,995,353,1023,281,246,653,336,319,594,1117,357,453,146,377,471,1160","1329,270,306,74,1168,12,88,242,268,716,13,158,1183,99,1465,1003,852,348,360,477,162,759,369,699,457,438,459,451,198,544,979,622,927,220,995,353,1023,281,246,653,336,319,594,1117,357,453,146,377,471,1160","sync_1329,sync_270,sync_306,sync_74,sync_1168,sync_12,sync_88,sync_242,sync_268,sync_716,sync_13,sync_158,sync_1183,sync_99,sync_1465,sync_1003,sync_852,sync_348,sync_360,sync_477,sync_162,sync_759,sync_369,sync_699,sync_457,sync_438,sync_459,sync_451,sync_198,sync_544,sync_979,sync_622,sync_927,sync_220,sync_995,sync_353,sync_1023,sync_281,sync_246,sync_653,sync_336,sync_319,sync_594,sync_1117,sync_357,sync_453,sync_146,sync_377,sync_471,sync_1160",0,None,None,None,107.948,None,31,31,None,1,"31,1117,447,840,645","31,1117,447,840,645",None,1.0,"31,1117,447,840,645,253,270,269,358,720","31,1117,447,840,645,253,270,269,358,720",None,1.0,"31,1117,447,840,645,253,270,269,358,720,471,131,756,667,383,88,500,306,145,11","31,1117,447,840,645,253,270,269,358,720,471,131,756,667,383,88,500,306,145,11",None,1.0,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
19,genetic,None,"831,517,15,818,685,1192,468,1093,847,800,469,946,220,353,363,835,1005,1261,927,769,1071,234,1096,376,1263,774,21,605,522,543,496,979,118,2,61,281,96,340,52,269,1024,929,332,369,23,759,137,500,115,163","831,517,15,818,685,1192,468,1093,847,800,469,946,220,353,163,835,1005,1261,927,769,1071,234,1096,376,1263,774,21,605,522,543,496,979,118,2,61,281,96,340,52,269,1024,929,332,369,23,759,137,500,115,163",None,1,None,None,220.603,None,None,None,None,376,202,None,0,None,"376,202,55,459,759","202,376,459,759,55",None,0.478,None,"376,202,55,459,759,475,802,500,173,355","202,376,459,759,55,475,802,500,173,355",None,0.661,None,"376,202,55,459,759,475,802,500,173,355,471,505,7,297,521,146,369,183,445,103","202,376,459,759,55,475,802,500,173,355,521,7,297,505,183,146,743,369,445,471",None,0.581,None,"(None, 10, 0)",None,None,"831,517,15,818,685,1192,468,1093,847,800,469,946,220,353,363,835,1005,1261,927,769,1071,234,1096,376,1263,774,21,605,522,543,496,979,118,2,61,281,96,340,52,269,1024,929,332,369,23,759,137,500,115,163","831,517,15,818,685,1192,468,1093,847,800,469,946,220,353,363,835,1005,1261,927,769,1071,234,1096,376,1263,774,21,605,522,543,496,979,118,2,61,281,96,340,52,269,1024,929,332,369,23,759,137,500,115,42","sync_831,sync_517,sync_15,sync_818,sync_685,sync_1192,sync_468,sync_1093,sync_847,sync_800,sync_469,sync_946,sync_220,sync_353,sync_363,sync_835,sync_1005,sync_1261,sync_927,sync_769,sync_1071,sync_234,sync_1096,sync_376,sync_1263,sync_774,sync_21,sync_605,sync_522,sync_543,sync_496,sync_979,sync_118,sync_2,sync_61,sync_281,sync_96,sync_340,sync_52,sync_269,sync_1024,sync_929,sync_332,sync_369,sync_23,sync_759,sync_137,sync_500,sync_115,add_42,del_163",1,None,None,None,118.873,None,759,202,None,0,"759,521,500,202,7","202,376,459,759,55",None,0.121,"759,521,500,202,7,55,297,475,802,471","202,376,459,759,55,475,802,500,173,355",None,0.183,"759,521,500,202,7,55,297,475,802,471,173,459,453,24,272,376,355,77,470,457","202,376,459,759,55,475,802,500,173,355,521,7,297,505,183,146,743,369,445,471",None,0.168,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
20,genetic,None,"114,1165,1368,212,618,339,559,395,169,1224,1008,887,778,1338,1263,143,155,216,422,76,869,374,62,729,870,43,1048,494,679,440,605,124,528,438,884,315,1487,1174,546,893,1041,656,1027,879,478,1245,886,1087,1074,603","114,1165,1368,212,618,339,559,395,169,1224,1008,887,778,1338,1263,143,155,216,422,76,869,374,62,729,870,43,1048,494,679,440,605,124,528,438,884,315,1487,1174,546,893,1041,656,1027,679,478,1245,886,1087,1074,603",None,1,None,None,201.962,None,None,None,None,1074,216,None,0,None,"1074,216,879,51,1245","216,1074,51,43,1245",None,0.493,None,"1074,216,879,51,1245,870,85,27,778,886","216,1074,51,43,1245,85,886,870,879,952",None,0.41,None,"1074,216,879,51,1245,870,85,27,778,886,481,43,144,1087,519,976,478,833,434,1050","216,1074,51,43,1245,85,886,870,879,952,27,778,478,1087,817,481,530,976,519,833",None,0.369,None,"(None, 10, 0)",None,None,"114,1165,1368,212,618,339,559,395,169,1224,1008,887,778,1338,1263,143,155,216,422,76,869,374,62,729,870,43,1048,494,679,440,605,124,528,438,884,315,1487,1174,546,893,1041,656,1027,879,478,1245,886,1087,1074,603","114,1165,1368,212,618,339,559,395,169,1224,1008,887,778,1338,1263,143,155,216,422,76,869,374,62,729,870,43,1048,494,679,440,605,124,528,438,884,315,1487,1174,546,893,1041,656,1027,879,478,1245,886,1087,1074,1528","sync_114,sync_1165,sync_1368,sync_212,sync_618,sync_339,sync_559,sync_395,sync_169,sync_1224,sync_1008,sync_887,sync_778,sync_1338,sync_1263,sync_143,sync_155,sync_216,sync_422,sync_76,sync_869,sync_374,sync_62,sync_729,sync_870,sync_43,sync_1048,sync_494,sync_679,sync_440,sync_605,sync_124,sync_528,sync_438,sync_884,sync_315,sync_1487,sync_1174,sync_546,sync_893,sync_1041,sync_656,sync_1027,sync_879,sync_478,sync_1245,sync_886,sync_1087,sync_1074,add_1528,del_603",1,None,None,None,109.942,None,752,216,None,0,"752,1087,595,1099,492","216,1074,51,43,1245",None,0.0,"752,1087,595,1099,492,135,2,5,347,1507","216,1074,51,43,1245,85,886,870,879,952",None,0.0,"752,1087,595,1099,492,135,2,5,347,1507,440,131,140,158,237,281,586,116,559,519","216,1074,51,43,1245,85,886,870,879,952,27,778,478,1087,817,481,530,976,519,833",None,0.019,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
